Titles,w,SD_F_AB_nCi_2_SS1_C_LGP[1;2;6]_a_MAS,MN_B_AB_nCi_2_SS4_T_KA_r-m_MAS,N3_B_AB_nCi_2_NS5_C_NSRW_c-p_MAS,HM_B_AB_nCi_2_SS1_X_LGP[1;2;6]_v-e_MAS,V_F_AB_nCi_2_NS2_T_LGP[2-4]_v_MAS,N2_B_AB_nCi_2_MP6_T_LGP[4-6]_a-r_MAS,S_F_AB_nCi_2_NS4_C_LGP[2-4]_a_MAS,MN_B_AB_nCi_2_NS3_C_LGP[1]_c-p_MAS,P3_F_AB_nCi_2_NS3_C_LGP[1-3]_r_MAS,MX_B_AB_nCi_2_SS3_C_KA_c-p_MAS,N2_B_AB_nCi_2_NS3_C_NSRW_a-c_MAS,E
A_100_00001_D:\Sebastian_2017\otros\san_pancho\Jose_mora\nuevo_proyecto\Electrof,0.097577327,0,1.052223924,0,19.5620864,577.1542618,0.010673533,0,0,0,0,0,-12.33
A_102_00001_D:\Sebastian_2017\otros\san_pancho\Jose_mora\nuevo_proyecto\Electrof,0.083503668,0.106588811,2.762897529,744.6475147,17.81834394,588.8236622,0.04832861,-0.246970864,-13.98262065,109.3059748,0.633040876,2.352731991,-12.28
A_103_00001_D:\Sebastian_2017\otros\san_pancho\Jose_mora\nuevo_proyecto\Electrof,0.064416214,0.298993127,1.444237958,667.3281546,12.84359164,1629.688423,0.056190232,-0.929073601,-16.23940646,105.7462781,0.423802643,1.121065916,-14.5
A_105_00001_D:\Sebastian_2017\otros\san_pancho\Jose_mora\nuevo_proyecto\Electrof,0.073984551,0.2950341,1.101096469,667.5703656,16.45767355,1368.902874,0.047556677,-1.165872108,-16.2414775,105.7337257,0.42397427,1.114577344,-14.36
A_106_00001_D:\Sebastian_2017\otros\san_pancho\Jose_mora\nuevo_proyecto\Electrof,0.061119385,0.085479754,1.860059458,766.2496034,15.89835748,1362.494705,0.047917244,-0.743462838,-13.44462494,98.49825807,1.071629341,1.754872559,-17.18
A_107_00001_D:\Sebastian_2017\otros\san_pancho\Jose_mora\nuevo_proyecto\Electrof,0.062927485,0.086793227,1.860059458,764.8369509,15.7783163,1503.388231,0.046306757,-0.759790715,-13.43823978,100.1083903,1.070588904,1.592902394,-16.38
A_109_00001_D:\Sebastian_2017\otros\san_pancho\Jose_mora\nuevo_proyecto\Electrof,0.067553999,0.049536154,2.128867591,769.9545479,16.978375,1629.481808,0.030754121,-1.806502878,-17.14473402,100.7851331,0.487774757,0.305649629,-11.87
A_110_00001_D:\Sebastian_2017\otros\san_pancho\Jose_mora\nuevo_proyecto\Electrof,0.063280999,0.286265563,1.997846469,807.2341351,18.66876424,1752.968939,0.036399369,-2.541116574,-1.141338994,67.59583723,0.931309292,2.994704068,-14.55
A_111_00001_D:\Sebastian_2017\otros\san_pancho\Jose_mora\nuevo_proyecto\Electrof,0.066516358,0.071950139,1.997846469,956.4329031,15.73541297,1915.472075,0.019206338,-1.932462462,-1.143446719,66.70190622,0.999979636,1.325778654,-13.02
A_115_00001_D:\Sebastian_2017\otros\san_pancho\Jose_mora\nuevo_proyecto\Electrof,0.058344128,0.040210699,2.127538032,674.1641663,16.978375,1018.354826,0.020241553,-1.839788118,-15.10264247,76.68385118,0.789220727,0.36589933,-10.11
A_116_00001_D:\Sebastian_2017\otros\san_pancho\Jose_mora\nuevo_proyecto\Electrof,0.069872305,0.012293842,2.357794887,951.1416489,15.80360648,1898.770262,0.018482115,-2.160879974,0,70.41246374,0.994796911,1.23764691,-11.78
A_124_00001_D:\Sebastian_2017\otros\san_pancho\Jose_mora\nuevo_proyecto\Electrof,0.066251426,0.155999131,1.821648308,285.812777,18.80169903,664.7147841,0.027894889,-0.467653241,0,53.06707563,0.514833548,2.07424853,-16.63
A_128_00001_D:\Sebastian_2017\otros\san_pancho\Jose_mora\nuevo_proyecto\Electrof,0.113222867,0,0.936916136,0,18.56911299,433.9121495,0.01816823,0,0,0,0,0,-4.67
A_130_00001_D:\Sebastian_2017\otros\san_pancho\Jose_mora\nuevo_proyecto\Electrof,0.074667923,0.152454587,0.788108851,222.0818084,19.98005536,334.2833636,0.029365305,-0.763854876,0,42.13101114,0.419004871,0.830480193,-13.37
A_134_00001_D:\Sebastian_2017\otros\san_pancho\Jose_mora\nuevo_proyecto\Electrof,0.066785968,0.148146386,0.787247959,214.6669836,17.07621505,457.9422141,0.031441792,-0.814427016,-1.121402091,38.61406696,0.409488316,0.955526207,-14.7
A_136_00001,0.112663033,0.295624307,0.8637973,608.9885226,17.32716091,986.5759208,0.038395426,2.626023986,-2.427530796,26.68043709,0.656891285,2.025550044,-4.91
A_137_00001_D:\Sebastian_2017\otros\san_pancho\Jose_mora\nuevo_proyecto\Electrof,0.092633836,0.144040103,0.784758353,215.5301032,17.25697085,313.5368286,0.01746824,-1.169203811,0,42.13101114,0.410668677,0.834737987,-12.37
A_138_00001,0.096120797,0,0.837328327,0,20.82002595,758.598375,0.044598577,0,0,0,0,0,-6.15
A_139_00001,0.072311479,0.076143359,2.070879732,727.2490785,15.12506066,1051.806407,0.048733654,0.8594385,-16.68800188,69.8574456,0.884975225,1.534500421,-10.48
A_140_00001,0.07948556,0.076539057,1.211569174,24.14695912,20.20803934,849.5548242,0.044858626,-2.973799102,-1.001038279,3.494169165,0.230316724,0.636750723,-8.37
A_141_00001,0.101705386,0.001249565,0.877530427,189.752869,20.14850382,649.7757857,0.036353064,-4.095264452,-22.37419389,45.19635255,0.110207098,0.448762975,-7.01
A_142_00001_D:\Sebastian_2017\otros\san_pancho\Jose_mora\nuevo_proyecto\Electrof,0.091417645,0,1.053853392,0,19.71743009,330.3801606,0.020323795,0,0,0,0,0,-9.05
A_152_00001_D:\Sebastian_2017\otros\san_pancho\Jose_mora\nuevo_proyecto\Electrof,0.042739686,0.20830787,2.32495743,169.8528813,22.8879084,387.2432619,0.095062723,-2.478678111,-10.00421618,48.27901066,0.44852988,1.852508853,-23.54
A_153_00001_D:\Sebastian_2017\otros\san_pancho\Jose_mora\nuevo_proyecto\Electrof,0.068109424,0.199936758,2.205926675,568.3980129,19.77777288,737.2300729,0.025483847,-0.185858165,-14.82625351,32.73696188,0.477036726,2.236541653,-11.86
A_154_00001_D:\Sebastian_2017\otros\san_pancho\Jose_mora\nuevo_proyecto\Electrof,0.086789109,0.30906398,1.966814844,233.0782367,17.12986941,1340.589895,0.027652323,2.747258504,-2.703923711,17.97522065,0.380538692,1.144311461,-6.06
A_155_00001_D:\Sebastian_2017\otros\san_pancho\Jose_mora\nuevo_proyecto\Electrof,0.078032049,0.392726588,2.047968295,565.8769076,18.68800021,794.3292917,0.032380988,1.822788808,-14.66880684,31.64215866,0.284522686,1.415113457,-11.92
A_156_00001_D:\Sebastian_2017\otros\san_pancho\Jose_mora\nuevo_proyecto\Electrof,0.084336241,0.368271049,1.997425367,588.1518777,17.7542335,1325.318594,0.029626257,-0.387495719,-16.56441415,25.71244936,0.339280898,1.174205051,-6.48
A_162_00001_D:\Sebastian_2017\otros\san_pancho\Jose_mora\nuevo_proyecto\Electrof,0.066131555,0.13753011,2.094883168,374.5994095,21.70392529,227.5595143,0.000436812,-1.197942237,-10.43878769,71.00299159,0.393109738,2.283442896,-14.07
A_163_00001_D:\Sebastian_2017\otros\san_pancho\Jose_mora\nuevo_proyecto\Electrof,0.071464792,0.416622311,2.159033675,141.1945698,15.65814331,344.7570897,0.061702776,1.522151482,-2.157035643,16.04740714,0.282117859,1.449006264,-23.32
A_164_00001_D:\Sebastian_2017\otros\san_pancho\Jose_mora\nuevo_proyecto\Electrof,0.078454194,0.402559346,2.048479456,173.0944992,17.72546588,908.4311434,0.039585574,-0.281975825,-2.347061482,14.49685239,0.321392376,1.231019012,-13.44
A_170_00001_D:\Sebastian_2017\otros\san_pancho\Jose_mora\nuevo_proyecto\Electrof,0.061616409,0.035755493,1.76980006,599.2296862,18.97345431,816.4796564,0.020482566,-1.648898935,-11.80052662,23.20413109,0.211885183,1.651380999,-7.69
A_173_00001_D:\Sebastian_2017\otros\san_pancho\Jose_mora\nuevo_proyecto\Electrof,0.072975527,0.090733207,1.997846469,826.4783403,18.83221722,1967.496763,0.06936711,-1.322551682,-17.48194956,109.5327746,0.891720726,1.335263269,-8.63
A_174_00001_D:\Sebastian_2017\otros\san_pancho\Jose_mora\nuevo_proyecto\Electrof,0.066079735,0.0706119,1.997846469,771.0432781,16.08142587,1601.083911,0.030718691,-1.926646907,-17.15279477,96.75021406,0.488487384,0.557735956,-12.18
A_177_00001_D:\Sebastian_2017\otros\san_pancho\Jose_mora\nuevo_proyecto\Electrof,0.05856389,0.294281464,1.997846469,667.3396768,16.08142587,1680.254312,0.059394055,-1.082489248,-16.23948768,101.1315462,0.423808416,1.207131641,-16.11
A_179_00001_D:\Sebastian_2017\otros\san_pancho\Jose_mora\nuevo_proyecto\Electrof,0.060757238,0.127979624,1.997846469,670.2818046,20.41472501,823.7522326,0.049882423,-1.770765402,-13.78167784,67.79450848,1.281900719,3.02621533,-10.37
A_181_00001_D:\Sebastian_2017\otros\san_pancho\Jose_mora\nuevo_proyecto\Electrof,0.053266051,0.015656121,1.9535982,136.3358425,20.19620833,137.1605143,0.01171328,-3.020598289,-7.200465431,20.25542814,0.13873233,0.224641236,-12.9
A_184_00001_D:\Sebastian_2017\otros\san_pancho\Jose_mora\nuevo_proyecto\Electrof,0.067916144,0.037464096,3.196930469,595.9100213,22.7415,989.4795455,0.019353572,-1.148021333,-22.46669197,96.12549832,0.893540463,0.688601859,-9.42
A_192_00001,0.117259125,0,0.910215941,0,18.19048776,461.5273029,0.007817189,0,0,0,0,0,-5.46
A_196_00001_D:\Sebastian_2017\otros\san_pancho\Jose_mora\nuevo_proyecto\Electrof,0.050039585,0.191913461,2.523256926,103.6923786,16.978375,398.52687,0,0.490769782,-8.750060463,55.99911409,0.253505915,1.789776433,-16.76
A_197_00001_D:\Sebastian_2017\otros\san_pancho\Jose_mora\nuevo_proyecto\Electrof,0.057836501,0.116128667,3.554167152,120.5149313,22.7415,397.1896944,0.021474181,-0.927399067,-19.25617937,73.20866391,0.396763645,1.010462361,-24.6
A_199_00001_D:\Sebastian_2017\otros\san_pancho\Jose_mora\nuevo_proyecto\Electrof,0.038119273,0.353515892,2.498652381,73.29757783,16.978375,355.26572,0,1.459593202,-8.04227382,41.95021341,0.245488648,1.823168118,-17.5
A_2_00001_D:\Sebastian_2017\otros\san_pancho\Jose_mora\nuevo_proyecto\Electrofil,0.0701555,0.495425644,2.238371603,152.6277963,15.42275819,466.5828838,0.06097689,-1.016002091,-6.674506061,25.36776107,0.356522372,1.719809365,-13.77
