Titles,w,HOMO,SD_F_AB_nCi_2_NS2_X_KA_e_MAS,N3_B_AB_nCi_2_NS5_C_NSRW_c-p_MAS,N3_B_AB_nCi_2_SS8_X_LGP[4-6]_a-p_MAS,N3_B_AB_nCi_2_NS8_H_T_KA_e-c_MAS,N3_B_AB_nCi_2_NS3_C_NSRW_a-c_MAS,MN_F_AB_nCi_2_SS8_T_KA_r_MAS,S_B_AB_nCi_2_NS6_T_NSRW_a-c_MAS,MN_B_AB_nCi_2_SS6_T_SRW_a-r_MAS,P3_F_AB_nCi_2_NS3_C_LGP[1-3]_r_MAS,MX_B_AB_nCi_2_SS3_C_KA_c-p_MAS,N2_B_AB_nCi_2_NS3_C_NSRW_a-c_MAS,HM_F_AB_nCi_2_SS1_X_LGP[1;2;6]_r_MAS,E
A_100_00001_D:\Sebastian_2017\otros\san_pancho\Jose_mora\nuevo_proyecto\Electrof,0.097577327,-0.41640641,12.1101842,0,0.168526693,2931.528799,0,0.967149659,-0.820895512,-0.66038955,0,0,0,0.429362371,-12.33
A_102_00001_D:\Sebastian_2017\otros\san_pancho\Jose_mora\nuevo_proyecto\Electrof,0.083503668,-0.378113631,6.353556834,744.6475147,0.88704707,2908.529496,-1.824228158,2.476155245,1.339525993,-0.476430194,109.3059748,0.633040876,2.352731991,1.289848034,-12.28
A_103_00001_D:\Sebastian_2017\otros\san_pancho\Jose_mora\nuevo_proyecto\Electrof,0.064416214,-0.341401073,3.875980344,667.3281546,-1.787710768,-3026.062491,-0.755743839,2.114398946,-0.507551991,-0.426536747,105.7462781,0.423802643,1.121065916,1.166503321,-14.5
A_105_00001_D:\Sebastian_2017\otros\san_pancho\Jose_mora\nuevo_proyecto\Electrof,0.073984551,-0.347721954,9.469630685,667.5703656,-1.789544713,-3588.979583,-0.75430839,1.175866975,-0.537145959,-0.426536747,105.7337257,0.42397427,1.114577344,0.417671646,-14.36
A_106_00001_D:\Sebastian_2017\otros\san_pancho\Jose_mora\nuevo_proyecto\Electrof,0.061119385,-0.305019258,4.669945788,766.2496034,-0.795730271,-2624.181498,-1.079909972,2.11594665,1.744968476,-0.401572629,98.49825807,1.071629341,1.754872559,0.926994427,-17.18
A_107_00001_D:\Sebastian_2017\otros\san_pancho\Jose_mora\nuevo_proyecto\Electrof,0.062927485,-0.313508348,4.536821976,764.8369509,-0.795915043,-1633.554692,-1.177961166,2.116119838,2.081334928,-0.401572629,100.1083903,1.070588904,1.592902394,0.903331128,-16.38
A_109_00001_D:\Sebastian_2017\otros\san_pancho\Jose_mora\nuevo_proyecto\Electrof,0.067553999,-0.31710978,3.640559847,769.9545479,-0.142929764,-3890.138231,0.191312489,2.354887487,-2.775175964,-0.324048667,100.7851331,0.487774757,0.305649629,1.1561375,-11.87
A_110_00001_D:\Sebastian_2017\otros\san_pancho\Jose_mora\nuevo_proyecto\Electrof,0.063280999,-0.344782009,12.72635507,807.2341351,-0.621583855,9427.818453,-2.307469844,1.891203068,1.338411283,-1.083975819,67.59583723,0.931309292,2.994704068,1.425086586,-14.55
A_111_00001_D:\Sebastian_2017\otros\san_pancho\Jose_mora\nuevo_proyecto\Electrof,0.066516358,-0.349853413,12.71357692,956.4329031,-0.492579153,14260.00118,0.848709741,2.226028065,-1.60202006,-0.740304281,66.70190622,0.999979636,1.325778654,1.235537051,-13.02
A_115_00001_D:\Sebastian_2017\otros\san_pancho\Jose_mora\nuevo_proyecto\Electrof,0.058344128,-0.354483826,5.577439851,674.1641663,-0.132384909,-730.6280472,0.212543504,2.297670431,-2.65500686,-0.317184617,76.68385118,0.789220727,0.36589933,1.1561375,-10.11
